"provider","Code","Text","refs"
"AI","Specific points for improvement","- AI_12_133:The specific points for improvement are indicated.
- AI_12_134:The part where the good points are praised first. The part where specific points for improvement are indicated.
- AI_14_002:My impression is that it is composed of good points, points that need to be improved, and positive encouragement, and I felt that the points that need to be improved were clear and easy to understand. The report says that the points that need to be improved are being recorded smoothly, but in reality there are omissions, and I felt that the fact that the report points out these omissions as points that need to be improved felt unnatural.
- AI_14_003:I thought that the fact that it mentions specific points that need to be improved was good. As a piece of writing, I felt that the phrase “excellent work” was unnatural. Also, since the interactions within the hospital are not taken into account, I felt that the points raised were less in-depth than the feedback given by the doctor in charge if the communication was good between the doctor and the student.
- AI_14_004:It is easy to understand what exactly needs to be improved. The points for improvement say that the entries for January 9th and 12th lack specificity, but the entry for the 9th is written in detail.
- AI_14_005:The points for improvement suggest that it would be better to write the names of specific techniques. The points for improvement suggest that knowledge of surgical methods should be obtained by asking the supervising doctor or looking them up in a textbook, rather than from literature.
- AI_14_006:The good points are that it shows easy-to-implement improvements that can be made every day. The feedback suggests that it would be good to create opportunities to share what you have learned, but this is not really related to the improvements to be made in the practical training record.
- AI_14_009:It is good that the points for improvement are being derived from the small amount of description. In addition, it also mentions points for improvement that go one step further.
- AI_14_011:The expression “excellent work” is a bit of a turn-off, but the other points for improvement are clearly indicated.
- AI_14_015:Thank you for your hard work! Your record is detailed and specific overall, and it is clear that you are carefully observing. The preface is good as a cushion, but if it is written in every practice book, it feels like it is too wordy.
- AI_14_017:The points that need to be improved are clear and easy to understand.
- AI_15_018:The impression is that the feedback is in line with the student's record. I felt that the feedback was good because it was given in a positive way in response to the student's record. On the other hand, the suggestions for the student are unrealistic and do not match the reality of clinical practice at all, and the background information that is a prerequisite for generating good feedback is critically lacking.","AI_12_133, AI_12_134, AI_14_002, AI_14_003, AI_14_004, AI_14_005, AI_14_006, AI_14_009, AI_14_011, AI_14_015, AI_14_017, AI_15_018"
"supervisor","Pointing out specific points for improvement","- SU_08_071:I think the feedback is very good because the points for improvement are specific and not too many.
- SU_08_074:I think it would be good to point out one good point and one point for improvement for the medical student.
- SU_15_024:The impression is that the feedback is concise but polite. In addition to supplementing knowledge, it also specifically presents clues for further research. It also includes words of appreciation for the presentation at the seminar, so it is supportive feedback.","SU_08_071, SU_08_074, SU_15_024"
"AI","Presentation of specific points for improvement","- AI_15_033:The impression is that the feedback is polite. It also gives specific suggestions for improvement, while also mentioning the points where the clinical practice record is lacking in detail.
- AI_15_034:The impression is that the feedback is tailored to the clinical practice record. I think it is specific feedback, as the points it raises are relatively valid.
- AI_16_036:The points that are lacking in the students' records are clearly pointed out, and the content is useful for improvement. The fact that it clearly shows how improvements need to be made is good. On the other hand, there are few specific points made about examination skills, and I would like to see more specific points.
- AI_16_037:While specific improvement measures are pointed out regarding the method of recording, there is a lack of feedback from a medical perspective regarding the content of the records. The instructions are specific and easy to understand. On the other hand, I would like to see points made from a medical perspective.
- AI_16_038:The feedback is clear and easy to understand. I can appreciate the fact that the problems with the record and the specific measures for improvement are clearly indicated. On the other hand, the fact that only the first day of the record is indicated, but the expression “from the first day” is used, makes the expression seem a little unnatural. I feel that this point could be improved.
- AI_16_040:The impression is that specific feedback is given on the content of the entries. The points are specific and easy to understand. On the other hand, there is little specific feedback on medical improvement measures. I would like to see feedback on medical techniques, etc.
- AI_16_041:The feedback is limited to the content of the description, and there is little mention of day-to-day efforts. It is good that specific feedback is given on how to record the information. On the other hand, it is a pity that the feedback is limited to the content of the description, as it is not possible to grasp the content of the presentation.","AI_15_033, AI_15_034, AI_16_036, AI_16_037, AI_16_038, AI_16_040, AI_16_041"
"supervisor","lack of specific points for improvement","- SU_06_037:It points out errors in writing and correctly teaches medical knowledge. It does not provide specific suggestions for improvement.
- SU_06_038:It is clear that it will be implemented, but there are no suggestions for how to improve it.
- SU_06_045:The name is written, so you know who gave the feedback. No specific suggestions for improvement are given.","SU_06_037, SU_06_038, SU_06_045"
"supervisor","specific descriptions","- SU_09_097:The feedback is specific and based on the student's behaviour during the practical training. There are some parts that do not necessarily match the contents of the portfolio.","SU_09_097"
"AI","specific evaluation","- AI_14_014:The points that are written in detail are properly evaluated. The sandwich of good points, points for improvement, and encouragement to do your best is so formulaic that I felt that if it was like that every day, students might stop reading the feedback seriously. Also, if this was a chat, I would feel that it was too mechanical.","AI_14_014"
"AI","Inconsistency of content","- AI_15_027:The impression is that it gives a polite atmosphere, but there are many inappropriate points in the content. It cannot be said that it is appropriate educational feedback to mention points that should be improved in relation to points that have already been largely achieved in the student record.","AI_15_027"
"AI","Redundant expressions","- AI_23_155:I felt that the feedback was somewhat verbose and required detailed descriptions. Of course, if you read it carefully, you will understand, but I think that students would be happier with feedback that they can understand the main points of at a glance.","AI_23_155"
"AI","clear examples","- AI_16_036:The points that are lacking in the students' records are clearly pointed out, and the content is useful for improvement. The fact that it clearly shows how improvements need to be made is good. On the other hand, there are few specific points made about examination skills, and I would like to see more specific points.","AI_16_036"
"AI","Pointing out areas for improvement without any introduction","- AI_18_069:The first sentence was a word that pursued the student's faults, and I thought it was a scary impression.
- AI_18_071:I don't think it's supportive to point out the flaws in the record straight away. It's good to advise them to include specific details of the discussion and techniques, but I thought the advice to “give specific examples of the mechanisms and clinical symptoms” in response to the future issue of “investigating whether patients with dementia with Lewy bodies have hyperreflexia or dyskinesia” was a bit off the mark.","AI_18_069, AI_18_071"
"AI","Abstractness of advice","- AI_05_030:The good points and areas for improvement are clearly indicated based on the student's content. However, the content of the advice is a little too general.","AI_05_030"
"supervisor","Descriptions that lead to motivation","- SU_17_057:The content of feedback 2 is not related to the medical student's comments, but seems to be an evaluation of how they worked during their practical training. If I received this content, I would be happy to think ‘they were watching me during my practical training’.
- SU_17_065:The content was motivational, as it praised my strengths.","SU_17_057, SU_17_065"
"supervisor","Motivational description","- SU_09_085:Although it was not very long and not very specific, I think it was encouraging feedback.
- SU_20_105:I felt that the feedback was positive about the attitude of the student during the practical training, and that it was motivating content.","SU_09_085, SU_20_105"
"supervisor","Advice from the perspective of a medical expert","- SU_14_004:The feedback is specific and gives details about the content of the illness seen in the hospital, so it is easy to understand what you need to be careful about. As there are no points for improvement, it is difficult to know where to make improvements.","SU_14_004"
"AI","Lack of advice on medical matters","- AI_06_049:The feedback is specific, referring to the evaluation criteria. It would be good to have some guidance comments from the clinician.
- AI_06_051:The feedback on the description is thorough. There are no particular points raised about medical judgments, etc.","AI_06_049, AI_06_051"
"supervisor","Answering medical questions","- SU_04_004:It was concise and easy to understand. The good points were that the feedback answered the questions that the medical students had raised as issues for the future, and that it showed support for learning by mentioning that learning anatomy would be useful for observing surgery in the future. There were no points that needed to be improved.","SU_04_004"
"AI","Lack of reference to medical content","- AI_21_117:My impression is that the feedback is given after the record has been carefully examined. The fact that the points that should be evaluated and the good points are mentioned first, and then the points for improvement are pointed out, makes it easier for the student to accept the points for improvement, and I think that is a good thing. I also think that the points for improvement and the content of the points for improvement are very specific, and that makes it easier to take action. The main points for improvement are suggestions for how the students' practical training should be carried out, and there is no feedback on medical or clinical content.","AI_21_117"
"AI","Advice avoiding medical content","- AI_10_107:In general, specific feedback is given. However, with regard to the techniques, it only proposes interaction with the supervisor, rather than the actual procedure of the technique itself.","AI_10_107"
"AI","Ignoring medical goals","- AI_12_139:The feedback is specific and detailed, but I was concerned that it seemed to ignore the tasks the student was planning to do.","AI_12_139"
"supervisor","Specific advice based on medical knowledge","- SU_04_006:I feel that it was kind feedback. As for good points, it praised the students and suggested where they should study next. There are no areas for improvement.","SU_04_006"
"supervisor","description of specific good points based on medical knowledge","- SU_04_013:There was feedback not only on the content of the written report, but also on the content of the presentation during the practical training, and it was clear that the attitude of the student during the practical training was being observed. As a positive point, it was noted that the content of the presentation was well-summarised regarding the risk classification of paediatric leukaemia. As a point for improvement, it was noted that there was no mention of what other areas of learning would be useful for the next stage of learning.","SU_04_013"
"supervisor","Pointing out errors related to medical knowledge","- SU_04_016:The content shows that the students’ written content was read and commented on. The good points are that the content written about was not only corrected where the learners had made mistakes, but also included details that would lead to further learning. There are no improvement points.","SU_04_016"
"supervisor","Pointing out errors in medical knowledge","- SU_10_114:The comments are based on the student's description, so the feedback is accurate. It only addresses whether the knowledge is correct or not, and does not indicate what action should be taken next. It would be better if the next action could be indicated with an awareness of the learning process.","SU_10_114"
"supervisor","Advice related to a medical perspective","- SU_14_006:I liked the fact that it specifically mentioned where to focus. I felt that the points for improvement did not cover all the feedback for the entire practical training.","SU_14_006"
"AI","lack of medical perspective","- AI_21_118:The main points are descriptions of the students' learning attitudes and methods during practical training. This is thought to lead to improvements in the way the students approach practical training and improvements in learning efficiency, but there seems to be a lack of feedback from a medical or clinical perspective.
- AI_21_119:There are many words of praise for the students, and this is good as it is used effectively. As points for improvement, it would be better if there was feedback from a clinical perspective.
- AI_21_121:The feedback is based on the students' records. Basically, the feedback is intended to improve the students' learning by improving how they write in their records. It would be good to have feedback and knowledge presented from a clinical perspective, as well as learning advice.
- AI_21_122:The evaluation is based on the “criteria” required of the students. It seems that there is a lack of feedback from a clinical perspective.
- AI_21_123:The impression was that feedback was being given based on the “criteria” required of students. The main points were comments on how to fill in the student records, and there was a lack of clinical feedback.
- AI_21_124:The main points were comments on how to fill in the student records. The comments were based on the “criteria”. There was a lack of comments from a clinical knowledge or perspective.","AI_21_118, AI_21_119, AI_21_121, AI_21_122, AI_21_123, AI_21_124"
"AI","lack of a medical perspective","- AI_21_127:The student's learning is encouraged by improving the content of the student records. The feedback is given based on the content of the student records, so it would be good if there was also some presentation of directly related medical knowledge and viewpoints.
- AI_21_128:The main points of the feedback are related to improving the content of the student records and encouraging learning through this. It would be good if there were also specific clinical content and knowledge presented, as well as content that provides guidelines.
- AI_21_129:The main focus is on improving the student records and providing feedback to encourage learning through this. It was good that specific examples were given to show areas for improvement. It would be good to add specific clinical content, knowledge, and guidance.
- AI_21_130:The main focus is on improving the student records and providing feedback to encourage learning through this. It was good that the student's good points were clearly shown and evaluated. There is a lack of specific clinical content, knowledge, and guidance.","AI_21_127, AI_21_128, AI_21_129, AI_21_130"
"AI","lack of medical perspective","- AI_16_037:While specific improvement measures are pointed out regarding the method of recording, there is a lack of feedback from a medical perspective regarding the content of the records. The instructions are specific and easy to understand. On the other hand, I would like to see points made from a medical perspective.
- AI_16_039:The impression is that detailed feedback is given on the records. It seems that not much feedback is given on the specific content of the practical training. It is good that specific points are pointed out regarding the entries in the records and how they can be improved. On the other hand, it seems that there is little medical-related feedback, so it would be better if the content suggested points that the students are not aware of.
- AI_16_040:The impression is that specific feedback is given on the content of the entries. The points are specific and easy to understand. On the other hand, there is little specific feedback on medical improvement measures. I would like to see feedback on medical techniques, etc.
- AI_16_041:The feedback is limited to the content of the description, and there is little mention of day-to-day efforts. It is good that specific feedback is given on how to record the information. On the other hand, it is a pity that the feedback is limited to the content of the description, as it is not possible to grasp the content of the presentation.
- AI_16_048:The impression is that the student's record is being given detailed feedback. The fact that the feedback is given in an easy-to-understand way, including specific examples, is commendable. On the other hand, it seems that there are hardly any medical points raised. It would be even better if advice was given on what points to focus on and how to learn.
- AI_17_063:I would like to have supplementary medical knowledge, rather than feedback that says “write in more detail”.","AI_16_037, AI_16_039, AI_16_040, AI_16_041, AI_16_048, AI_17_063"
"supervisor","Pointing out medical errors","- SU_06_037:It points out errors in writing and correctly teaches medical knowledge. It does not provide specific suggestions for improvement.","SU_06_037"
"supervisor","Overlooking medical errors","- SU_11_120:They did not point out the mistakes in the words ‘irregular pulse’ and ‘Holter electrocardiogram’. I think it is encouraging for the student to receive feedback that is relevant to the actual content of the practical training. Although you have included a summary of the characteristics of the case study, I think you should give a little more feedback on this.
- SU_11_121:You have not pointed out the mistake of ‘resuscitation termination’. Although you have mentioned the limitations and shortcomings of the instructor, and this is not content that will directly lead to the improvement of the learner's ability, I think that this is a description that will be well received by the learner. I think that this is a description that conveys ‘encouragement from senior doctors’.","SU_11_120, SU_11_121"
"AI","Failure to spot medical errors","- AI_11_120:The reviewer did not point out the errors in the words “pulse irregularity” and “electrocardiogram holder”. The feedback was in line with the content of the record, but was the content of the ECG taking, etc. something that was supposed to be taught? Depending on the content of the practical training, it seems that there may be a backlash of “I couldn't do that”. Maybe it was supposed to be done on the curriculum.
- AI_11_121:The reviewer did not point out the typo “resuscitation cancellation”. They pointed out the next task in a safe way. Compared to feedback1, there was no emotional description, and to put it nicely, it was accurate, to put it normally, it was businesslike, and to put it badly, it was flat. I thought that they had set the average score and correct answers as the standard and had sufficiently pointed out the inferior parts from there.","AI_11_120, AI_11_121"
"supervisor","Addressing important medical issues","- SU_09_091:Although there are only a few, I think the feedback is easy to understand as it proposes issues related to important and impressive content.","SU_09_091"
"supervisor","Suggestions for medical matters","- SU_16_037:I think the content is educational, as it includes important medical points, but the amount of points is insufficient, and the way the text is written feels a little unfriendly. It is educational in that it points out misunderstandings of medical knowledge, but the points are limited to medical content, and I would like the points to lead to improvements in future approaches for students.
- SU_16_051:The feedback is detailed and medically accurate, but it comes across as a bit stiff. The feedback is detailed and medically accurate, but the wording is a bit directive.","SU_16_037, SU_16_051"
"AI","Inadequate understanding of medical content","- AI_10_113:The fact that the change in blood sugar levels after insulin administration cannot be read from the chronological description of blood sugar levels suggests the limitations of the person giving the feedback. There is room for consideration as to whether the feedback is intended to be a trigger for reviewing physical condition management.","AI_10_113"
"AI","lack of medical expertise","- AI_15_021:The impression is that the feedback is very detailed and thorough. I think it is good that specific improvement suggestions are being made, but I don't think that the criteria for treatment of hypoglycemia and the rationale for treatment are that important (compared to the other content), and I feel that the points being made lack medical knowledge.","AI_15_021"
"AI","Advice that is not based on medical knowledge","- AI_22_143:The specific examples given are ideas that are not based on much medical expertise","AI_22_143"
"supervisor","Lack of advice on medical knowledge","- SU_14_016:It points out medical problems and points for improvement when reviewing. It does not indicate points for improvement such as writing every day.
- SU_19_088:It mentions the points that should be kept in mind during medical examinations and consultations, and I think it will be useful for students to clarify their future goals. However, there is little mention of the ‘criteria’ that students should record.","SU_14_016, SU_19_088"
"supervisor","Medical knowledge advice","- SU_17_058:I can get feedback on my knowledge, so it is useful for my studies.","SU_17_058"
"supervisor","Presentation of medical knowledge","- SU_19_097:There is little feedback that refers to the student's records or the standards for clinical practice. However, the knowledge of diseases that is useful for diagnosis is shared, and I think this is useful feedback for students. There is also a phrase that asks about hopes for future practice, and I felt that this could encourage students to take an active part.","SU_19_097"
"AI","lack of medical knowledge","- AI_15_024:At first glance, it seems polite, but on closer inspection, it is crude feedback. It is fixated on relatively trivial points such as the use of thoracoscopic cameras and needlework, and furthermore, the specific feedback lacks accurate knowledge.","AI_15_024"
"supervisor","Supplementary medical knowledge","- SU_18_076:Rather than pointing out areas for improvement in the student's writing, I got the impression that the advice was more about supplementing information for learning. I think that's fine.","SU_18_076"
"AI","advice that does not take into account medical knowledge","- AI_18_071:I don't think it's supportive to point out the flaws in the record straight away. It's good to advise them to include specific details of the discussion and techniques, but I thought the advice to “give specific examples of the mechanisms and clinical symptoms” in response to the future issue of “investigating whether patients with dementia with Lewy bodies have hyperreflexia or dyskinesia” was a bit off the mark.
- AI_19_100:Feedback is given in line with the record, and specific points are also raised. However, I think that the specific example given as an improvement for the entry “perform arterial blood collection techniques” - “increase opportunities to practice blood collection from specific arteries” - is a little unnatural.","AI_18_071, AI_19_100"
"supervisor","advice on behaviour in practical training from a medical perspective","- SU_20_108:The fact that they were able to tell us about the things that happened during the practical training in a concrete and valuable way made me feel that the feedback was something that would help us remember the practical training. Also, the fact that they explained the points to be careful of when taking observations made me feel that the content was something that could be put to practical use.","SU_20_108"
"supervisor","Advice based on experience as a doctor","- SU_23_155:The words ‘I have a lot of worries since becoming a doctor’ can probably only be said by someone with experience as a doctor, and they also convey the weight of having to think about them throughout your life, so I think they are feedback that only a human being could give.","SU_23_155"
"AI","Lack of a doctor's perspective","- AI_06_050:The feedback on the record is thorough, but the suggestions for improvement and things to work on are not from the surgeon's perspective.","AI_06_050"
"supervisor","Description from the perspective of a doctor","- SU_21_117:The impression I got was that it was like a message from a senior doctor to a junior doctor. The good points were that it included comments and advice from a clinical perspective, and that it included the doctor's impressions. The points for improvement were that there was a lot of abstract content, that there was little feedback on the student's records, etc., and that there were few points for the student to work on.
- SU_21_118:The impression I got was that it was feedback from a clinical perspective. Although there was no description of specific content, it looked at the actual content of the practical training and evaluated not only the attitude of the student during the practical training, but also their medical learning.
- SU_21_120:Most of the feedback is confirmation of the content that the students were asked to do in the practical training. Also, although it is evaluated as appropriate, it lacks specific content. It touches on clinical content.","SU_21_117, SU_21_118, SU_21_120"
"AI","lack of points related to medical care","- AI_16_036:The points that are lacking in the students' records are clearly pointed out, and the content is useful for improvement. The fact that it clearly shows how improvements need to be made is good. On the other hand, there are few specific points made about examination skills, and I would like to see more specific points.","AI_16_036"
"supervisor","Lack of advice based on experience as a medical professional","- SU_15_018:The impression is that it is careful feedback based on the student's comments. The fact that it encourages the student to check the specific medical procedures and how to use medical equipment is good as it is feedback that takes into account that this will also be useful in actual clinical practice. The student repeatedly mentions specific techniques such as procedures and presentation skills, so it would be even better if there was specific feedback on these points too.","SU_15_018"
"AI","Advice that is not sufficiently tailored to the content of the description","- AI_11_125:As the student seems to be very good, it seems that the person giving the feedback would have some difficulty. It felt a little like it was just tacked on. I think good feedback is just straightforward praise.","AI_11_125"
"AI","Sufficient amount of positive feedback","- AI_04_003:I get the impression that he is trying to encourage students by first praising them for writing their records. As a positive point, there are specific descriptions of how to write entries that will help learning and enable goal setting. I don't think there are any major points that need to be improved.","AI_04_003"
"supervisor","advice that is easy to put into practice","- SU_08_080:The advice is concise and easy to take on board. I think it would be better if you could also mention one good point about the medical student.","SU_08_080"
"AI","suggestions for improvements that are easy to accept","- AI_21_117:My impression is that the feedback is given after the record has been carefully examined. The fact that the points that should be evaluated and the good points are mentioned first, and then the points for improvement are pointed out, makes it easier for the student to accept the points for improvement, and I think that is a good thing. I also think that the points for improvement and the content of the points for improvement are very specific, and that makes it easier to take action. The main points for improvement are suggestions for how the students' practical training should be carried out, and there is no feedback on medical or clinical content.","AI_21_117"
"supervisor","different impressions received","- SU_15_025:The impression is that the feedback is concise but still hits the main points of the record. It is interesting that the impression received is completely different, even though feedback 1 and feedback 2 mention almost the same points.","SU_15_025"
"supervisor","Emphasis on verbal advice","- SU_23_154:I think that because the doctor was watching the student learning, he didn't give such detailed feedback.","SU_23_154"
"AI","Feedback in the same pattern","- AI_05_022:The response was made after reading the student's long record. On the other hand, this is the same as the student's entry in No. 18, and as a result, the AI-generated feedback is probably similar in content. If a student repeats the same entry, a human being can focus on different points each time or give guidance on writing different content, but at least in this setting, it was possible to see that the AI was not good enough in this respect.","AI_05_022"
"supervisor","Descriptions that do not fit together","- SU_18_074:I get the impression that there is no conversation between the students and the teachers. (It seems that the teachers' feedback is the same for all students).","SU_18_074"
"AI","Sentences that are too formulaic","- AI_18_078:The feedback is good, but I felt that the sentences were written in a particular way and were not natural.","AI_18_078"
"AI","insistence on standards alone","- AI_20_111:Not only does the feedback only refer to the criteria for the record, but it also points out that the patient list is missing from the record on February 2nd, even though it is not supposed to be included, and I feel that this is inappropriate feedback.
- AI_22_144:It would be better if the future benefits of the suggestions were also shown, along with the feedback
- AI_23_154:It seems as if they are fixated on just filling in the blanks. If the student is not aiming to become a surgeon, they may not feel the significance of recording the techniques they learn in surgery, not to mention their knowledge of anatomy.","AI_20_111, AI_22_144, AI_23_154"
"supervisor","non-conformance with standards","- SU_09_088:The feedback is tailored to the student's experience and based on actual cases. It's not feedback that is tailored to a standard, but it feels like ‘living’ feedback that is likely to bring about behavioural change.","SU_09_088"
"AI","Strict adherence to standards","- AI_19_093:I think that the feedback is being given in line with the student's record and the standards for clinical practice.
- AI_20_116:The feedback emphasizes the points that do not meet the criteria for the record. I think it would be better if the content that meets the criteria was also mentioned in more official terms.
- AI_21_122:The evaluation is based on the “criteria” required of the students. It seems that there is a lack of feedback from a clinical perspective.
- AI_21_123:The impression was that feedback was being given based on the “criteria” required of students. The main points were comments on how to fill in the student records, and there was a lack of clinical feedback.
- AI_21_124:The main points were comments on how to fill in the student records. The comments were based on the “criteria”. There was a lack of comments from a clinical knowledge or perspective.
- AI_21_126:The main points of the feedback are related to how to record student records. The feedback is given based on the “criteria” required of students. It is good that the points to be evaluated are clearly indicated.
- AI_21_131:The evaluation is based on the “criteria”. The main point is to improve the student records. It is good that it shows the points for improvement using specific examples. Although it encourages the description of clinical aspects, it seems that there is a lack of direct clinical knowledge and clues in terms of learning clinical medicine.","AI_19_093, AI_20_116, AI_21_122, AI_21_123, AI_21_124, AI_21_126, AI_21_131"
"supervisor","Lack of reference to the criteria","- SU_19_094:There is no mention of the student records or clinical practice standards, and there is no reflection on the practical training or presentation of future learning issues. From the perspective of contributing to student learning, I get the impression that it is not quite appropriate.
- SU_19_097:There is little feedback that refers to the student's records or the standards for clinical practice. However, the knowledge of diseases that is useful for diagnosis is shared, and I think this is useful feedback for students. There is also a phrase that asks about hopes for future practice, and I felt that this could encourage students to take an active part.","SU_19_094, SU_19_097"
"AI","too many points raised","- AI_16_047:I get the impression that it not only points out areas for improvement, but also includes reasons and is written in a logical way. I think it is good that it points out areas for improvement, including the reasons. On the other hand, because there are so many points, I think it would be easier to understand if there was a summary of the content at the end.","AI_16_047"
"AI","Suggestions for how to learn","- AI_06_038:The content of the first day is approved, and a way of learning that can be continued in the future is also suggested.
- AI_06_039:The feedback on the recording is given in a way that promotes future learning.","AI_06_038, AI_06_039"
"AI","Lack of recognition of what has been learned","- AI_04_010:I think that appropriate feedback is given. The good points are that it gives specific examples. I thought it would be good if there was feedback not only on future issues, but also on what was learned.","AI_04_010"
"AI","Lack of reference to what was learned","- AI_04_015:The impression is that there are many points for improvement. The good points are that specific examples are given and the content is linked to the next stage of learning. The point for improvement is that there was no comment on nephrotic syndrome, which was listed as something that had been learned.
- AI_04_016:The content shows that the learners are being supported. The good points are that the content listed is linked to the next stage of learning by adding specifics. The point for improvement is that there was no feedback on what had been learned.","AI_04_015, AI_04_016"
"supervisor","description that is sympathetic to the student","- SU_15_019:The impression is that the feedback is extremely polite and specific, and is tailored to the student. The impression of the student's practical training and case presentations, etc., is not recorded, but the supervising doctor gives polite feedback on the student's impressions and efforts, and there is no sense that there is anything that needs to be improved.","SU_15_019"
"supervisor","Findings based on student advice","- SU_23_159:The feedback was supportive, and showed a good understanding of the student's situation.","SU_23_159"
"supervisor","motivating students for practical training","- SU_12_137:I think that feedback on the specific actions of the students is a great opportunity for them to become highly motivated. I don't think there are any particular points for improvement.
- SU_12_145:I think it would be better if there was some mention of the days when there was no entry. However, on the other hand, I think it is good feedback that the student is praised for something that only the supervisor would know (participation in a study group), as it gives the student a chance to increase their motivation.
- SU_12_146:I'm concerned that there is no mention of the entries at all. However, I think it was very good for the student to receive feedback on the presentation and on the fact that they had learned how to deal with elderly patients, rather than feedback on the portfolio itself.","SU_12_137, SU_12_145, SU_12_146"
"supervisor","Prioritisation based on the student's feelings","- SU_13_149:Good points: The tone is mild. It mentions the item on the description of arterial puncture, which I feel is the most emotional description from the trainee's side, and motivates them to gain experience in the clinical setting. Bad points: The overall impression is negative, and it does not mention any feedback on the trainee's learning of the disease and pathology.","SU_13_149"
"supervisor","Consideration for the student's situation","- SU_13_157:It gives the impression of being written with consideration for the learner's situation. It is good that there is feedback on the learner's attitude towards practice. There is no mention of the learner's record.
- SU_13_159:The impression is that the trainee's practical training is observed and evaluated. It is good that the trainee's situation is taken into account, and that approval is given for the practical training record and slide making. The fact that there is no mention of specific points for improvement in the learning record is an area for improvement.","SU_13_157, SU_13_159"
"supervisor","Advice based on the student's situation","- SU_17_067:I was happy with the feedback, as it took into account the particularities of medical students.","SU_17_067"
"AI","lack of pointing out the student's behavior","- AI_17_058:The feedback was not about what was done, but about what was written, and it felt like the student's actions were not being observed.","AI_17_058"
"supervisor","Descriptions that are in line with the student's interests","- SU_05_021:The student has written a long piece of text, but the feedback is brief, and I think the student may be worried that the supervising doctor hasn't read it even though they wrote it so carefully and at such length. On the other hand, it is a good point that it mentions learning in conjunction with matters that are of great interest to students, such as the national exam.","SU_05_021"
"AI","little motivational effect on the student","- AI_15_019:The impression is that the feedback is of the minimum quality required, based solely on the student's record. The language used seems polite at first glance, but it is not at all likely to motivate the student to make use of this feedback.","AI_15_019"
"supervisor","Description that encourages students","- SU_12_133:The part where the student is encouraged
- SU_12_134:The part where the student is encouraged.
- SU_12_142:I think it's great that the student is being encouraged. I don't think there is anything that needs to be improved.","SU_12_133, SU_12_134, SU_12_142"
"supervisor","Specific presentation of the content to be studied","- SU_05_024:The message is clear about what the student should learn next. It contains a lot of specific support content.","SU_05_024"
"supervisor","showing support for learning","- SU_04_004:It was concise and easy to understand. The good points were that the feedback answered the questions that the medical students had raised as issues for the future, and that it showed support for learning by mentioning that learning anatomy would be useful for observing surgery in the future. There were no points that needed to be improved.","SU_04_004"
"AI","Limits of feedback on the content of the learning","- AI_05_024:The two points for improvement are clearly indicated. On the other hand, although the AI feedback in general mentions the need for specificity, there is a concern as to whether it would be possible to provide appropriate feedback in response to specific learning issues, etc. if they were written in this record. It may be preferable to receive face-to-face guidance on issues and questions that arise in actual learning.","AI_05_024"
"AI","Advice on learning methods","- AI_21_118:The main points are descriptions of the students' learning attitudes and methods during practical training. This is thought to lead to improvements in the way the students approach practical training and improvements in learning efficiency, but there seems to be a lack of feedback from a medical or clinical perspective.","AI_21_118"
"supervisor","Presentation of learning policy","- SU_06_044:Advice is given to encourage active participation. There is no evaluation at all of what was done.","SU_06_044"
"AI","Too high a goal that does not take into account the learner's current stage of learning","- AI_07_067:I think it's a normal record for a student to say that they didn't do a good job with the medical interview, so they'll do better tomorrow, but you've pointed out that it should be more specific. That's certainly correct, but I think it's a little harsh feedback considering that the student is at an age where it's considered normal that they can't do it specifically. I think that if it was a human being (as a record of a student's practical training), you wouldn't point out that it should be that specific here.
- AI_07_068:The record is quite specific, but even though you are pointing out that it is even more specific, the content seems a little shallow. In this case, I think it would be better to apply other feedback rather than being specific.","AI_07_067, AI_07_068"
"AI","Need to set learning goals","- AI_04_005:The impression was that there were many points listed for improvement. As a good point, the fact that the areas for improvement were described in concrete terms. As points for improvement, there were specific examples given, but as a medical student, I felt that these were too high a hurdle.
- AI_04_007:The impression is that detailed feedback is given on the student's record. The good points are that detailed examples are also included. The points that need improvement are that the feedback content seems to be a mixture of advanced parts and the level of medical students.","AI_04_005, AI_04_007"
"supervisor","Advice that is sympathetic to the learner's concerns","- SU_13_155:The feedback is given in a way that is sympathetic to the learner's concerns. It also suggests ways to improve by referring to how others communicate. On the other hand, there is no specific reference to learning materials, and the feedback is somewhat vague.","SU_13_155"
"supervisor","Empathy towards the learner","- SU_06_042:As the learner has written a lot about anatomical structures, the feedback encourages them to learn while empathising with the complexity of the structures. However, there is no specific feedback, and it is too brief.","SU_06_042"
"supervisor","Presentation of learning tasks","- SU_15_029:The impression is that it is concise feedback. It also mentions future learning issues, so even though it is short, it feels like it has sufficient content.
- SU_19_091:There is not much clear reference to the ‘criteria’ for the students‘ clinical training. However, since learning tasks are presented, I think this will be helpful for the students.","SU_15_029, SU_19_091"
"AI","Lack of depth in terms of learning","- AI_07_059:The reviewer points out that it would be better to write “Ask the patient about their lifestyle and eating habits in detail...” rather than “Ask about the patient's lifestyle history”, but when you think about it carefully, it's not really that big a deal. The reviewer points out that it should be more specific, but I don't think it makes much difference. At first glance, the writing gives a good impression, but when you think about it carefully, it's noticeable that it lacks depth.","AI_07_059"
